DBN,School Name,year_start,scenario,model,forecast,actual,error,abs_error,pct_error
02M011,P.S. 011 William T. Harris,2022,optimistic,Piecewise Linear,767.1904761904761,668.0,99.19047619047615,99.19047619047615,0.14848873681209004
02M011,P.S. 011 William T. Harris,2023,optimistic,Piecewise Linear,821.3809523809524,719.0,102.38095238095241,102.38095238095241,0.14239353599576135
02M011,P.S. 011 William T. Harris,2024,optimistic,Piecewise Linear,875.5714285714286,643.0,232.57142857142856,232.57142857142856,0.3616974005776494
02M011,P.S. 011 William T. Harris,2022,base,Prophet,649.3605603794673,668.0,-18.6394396205327,18.6394396205327,-0.02790335272534835
02M011,P.S. 011 William T. Harris,2023,base,Prophet,551.6095596708036,719.0,-167.3904403291964,167.3904403291964,-0.23281006999888232
02M011,P.S. 011 William T. Harris,2024,base,Prophet,453.59074800129434,643.0,-189.40925199870566,189.40925199870566,-0.2945711539637724
02M033,P.S. 033 Chelsea Prep,2022,pessimistic,Piecewise Linear,435.99999999999994,515.0,-79.00000000000006,79.00000000000006,-0.1533980582524273
02M033,P.S. 033 Chelsea Prep,2023,pessimistic,Piecewise Linear,391.9999999999999,587.0,-195.0000000000001,195.0000000000001,-0.3321976149914823
02M033,P.S. 033 Chelsea Prep,2024,pessimistic,Piecewise Linear,347.99999999999983,576.0,-228.00000000000017,228.00000000000017,-0.39583333333333365
02M033,P.S. 033 Chelsea Prep,2022,base,Piecewise Linear,480.0,515.0,-35.0,35.0,-0.06796116504854369
02M033,P.S. 033 Chelsea Prep,2023,base,Piecewise Linear,480.0,587.0,-107.0,107.0,-0.18228279386712096
02M033,P.S. 033 Chelsea Prep,2024,base,Piecewise Linear,480.0,576.0,-96.0,96.0,-0.16666666666666666
02M033,P.S. 033 Chelsea Prep,2022,optimistic,Piecewise Linear,516.5238095238095,515.0,1.5238095238095184,1.5238095238095184,0.002958853444290327
02M033,P.S. 033 Chelsea Prep,2023,optimistic,Piecewise Linear,553.047619047619,587.0,-33.95238095238096,33.95238095238096,-0.057840512695708626
02M033,P.S. 033 Chelsea Prep,2024,optimistic,Piecewise Linear,589.5714285714286,576.0,13.571428571428555,13.571428571428555,0.02356150793650791
02M033,P.S. 033 Chelsea Prep,2022,base,Prophet,445.8706399163053,515.0,-69.12936008369468,69.12936008369468,-0.1342317671528052
02M033,P.S. 033 Chelsea Prep,2023,base,Prophet,388.35981227564133,587.0,-198.64018772435867,198.64018772435867,-0.3383989569409858
02M033,P.S. 033 Chelsea Prep,2024,base,Prophet,330.6914207236331,576.0,-245.3085792763669,245.3085792763669,-0.42588295013258143
02M040,P.S. 040 Augustus Saint-Gaudens,2022,pessimistic,Piecewise Linear,540.0,559.0,-19.0,19.0,-0.03398926654740608
02M040,P.S. 040 Augustus Saint-Gaudens,2023,pessimistic,Piecewise Linear,501.9999999999999,519.0,-17.000000000000114,17.000000000000114,-0.03275529865125263
02M040,P.S. 040 Augustus Saint-Gaudens,2024,pessimistic,Piecewise Linear,463.9999999999999,521.0,-57.000000000000114,57.000000000000114,-0.10940499040307124
02M040,P.S. 040 Augustus Saint-Gaudens,2022,base,Piecewise Linear,578.0,559.0,19.0,19.0,0.03398926654740608
02M040,P.S. 040 Augustus Saint-Gaudens,2023,base,Piecewise Linear,578.0,519.0,59.0,59.0,0.11368015414258188
